Date,Open,High,Low,Close,Volume,Adj Close
2011-06-30,40.24,40.87,40.01,40.82,220500,40.82
2011-06-29,40.88,41.00,39.76,40.15,220100,40.15
2011-06-28,39.36,40.22,39.31,40.00,306200,40.00
2011-06-27,39.34,39.66,38.96,39.10,215100,39.10
2011-06-24,39.57,39.76,38.95,39.25,218100,39.25
2011-06-23,39.19,39.65,38.54,39.48,257200,39.48
2011-06-22,39.84,40.26,39.56,39.66,182300,39.66
2011-06-21,39.65,40.42,39.54,39.90,247000,39.90
2011-06-20,39.35,39.55,39.04,39.46,177500,39.46
2011-06-17,39.31,39.73,39.29,39.45,503000,39.45
2011-06-16,39.08,39.33,38.52,38.92,213100,38.92
2011-06-15,39.49,39.70,38.76,38.97,297000,38.97
2011-06-14,39.72,39.99,39.65,39.89,242500,39.89
2011-06-13,39.26,39.62,39.08,39.35,404100,39.35
2011-06-10,39.87,40.01,39.15,39.30,503700,39.30
2011-06-09,39.71,40.14,39.38,40.00,380300,40.00
2011-06-08,40.65,40.81,39.68,39.80,554100,39.80
2011-06-07,41.29,41.35,40.48,40.82,363700,40.82
2011-06-06,41.87,41.93,41.09,41.11,324500,41.11
2011-06-03,42.14,42.45,41.80,41.89,171700,41.89
2011-06-02,43.23,43.64,42.45,42.69,293800,42.69
2011-06-01,44.75,44.79,42.94,43.12,376400,43.12
2011-05-31,45.65,45.72,44.49,44.58,451700,44.58
2011-05-27,45.00,45.65,44.99,45.26,127300,45.26
2011-05-26,44.23,44.97,43.97,44.92,329100,44.92
2011-05-25,43.75,44.36,43.75,44.28,135200,44.28
2011-05-24,44.51,44.86,43.94,43.94,103100,43.94
2011-05-23,44.43,44.75,44.02,44.42,172400,44.42
2011-05-20,45.00,45.33,44.84,44.99,129200,44.99
2011-05-19,45.17,45.59,44.69,45.17,234300,45.17
2011-05-18,44.45,45.42,44.36,45.00,388100,45.00
2011-05-17,44.22,44.43,43.92,44.37,320800,44.37
2011-05-16,44.27,44.55,44.00,44.45,355400,44.45
2011-05-13,44.64,44.93,43.92,44.03,285600,44.03
2011-05-12,44.24,44.85,43.66,44.57,220000,44.57
2011-05-11,44.65,44.75,44.00,44.33,179000,44.33
2011-05-10,44.05,44.87,44.05,44.81,278400,44.81
2011-05-09,43.78,44.37,43.78,44.00,358000,44.00
2011-05-06,44.21,44.77,43.59,43.70,524300,43.70
2011-05-05,42.66,43.94,42.00,43.62,502200,43.62
2011-05-04,42.49,43.50,42.05,43.22,661500,43.22
2011-05-03,43.76,44.19,41.51,42.58,667100,42.58
2011-05-02,44.65,44.97,43.95,44.14,217000,44.14
2011-04-29,44.60,44.60,43.26,44.31,206000,44.31
2011-04-28,44.70,44.86,44.31,44.51,155600,44.51
2011-04-27,44.92,45.01,44.41,44.61,305700,44.61
2011-04-26,44.10,44.53,43.98,44.44,266800,44.44
2011-04-25,43.47,44.37,43.16,44.35,480300,44.35
2011-04-21,42.93,43.66,42.54,43.62,463900,43.62
2011-04-20,42.80,43.05,42.24,42.62,231800,42.62
2011-04-19,42.02,42.30,41.76,41.92,268500,41.92
2011-04-18,41.66,42.09,41.06,41.97,481200,41.97
2011-04-15,41.14,41.49,40.59,41.44,191800,41.44
2011-04-14,40.66,41.11,40.44,41.06,164900,41.06
2011-04-13,40.47,40.89,40.15,40.87,694900,40.87
2011-04-12,40.55,40.96,39.53,40.16,947400,40.16
2011-04-11,41.83,41.98,40.95,41.12,275800,41.12
2011-04-08,42.15,42.43,41.64,41.82,203200,41.82
2011-04-07,42.56,42.82,41.91,42.03,251100,42.03
2011-04-06,42.32,42.70,42.20,42.58,150800,42.58
2011-04-05,42.34,42.80,42.10,42.21,192900,42.21
2011-04-04,42.63,42.93,42.29,42.72,149800,42.72
2011-04-01,43.05,43.37,42.17,42.46,275600,42.46
2011-03-31,42.83,43.06,42.68,43.04,200200,43.04
2011-03-30,42.65,43.12,42.37,43.09,200000,43.09
2011-03-29,42.00,42.43,41.17,42.26,573800,42.26
2011-03-28,44.30,44.30,41.14,41.35,736700,41.35
2011-03-25,43.23,44.13,43.05,44.11,165500,44.11
2011-03-24,43.10,43.19,42.73,42.88,99600,42.88
2011-03-23,42.56,43.15,42.03,42.90,146600,42.90
2011-03-22,43.56,43.56,42.40,42.75,386400,42.75
2011-03-21,43.02,43.63,42.98,43.39,164100,43.39
2011-03-18,42.55,42.86,41.89,42.50,242000,42.50
2011-03-17,42.39,42.58,41.89,42.05,166800,42.05
2011-03-16,42.70,42.70,41.54,41.74,273400,41.74
2011-03-15,41.87,43.07,41.71,42.81,260700,42.81
2011-03-14,43.53,43.96,42.94,43.30,140800,43.30
2011-03-11,44.52,45.11,43.70,43.70,261400,43.70
2011-03-10,45.20,45.20,44.34,44.74,291300,44.74
2011-03-09,44.63,44.95,44.05,44.41,367100,44.41
2011-03-08,44.08,45.00,43.82,44.68,198500,44.68
2011-03-07,45.05,45.05,43.62,43.89,222900,43.89
2011-03-04,45.85,46.02,44.71,44.91,139500,44.91
2011-03-03,45.89,46.58,45.79,46.08,273300,46.08
2011-03-02,44.90,46.11,44.56,45.42,327900,45.42
2011-03-01,46.32,46.32,44.19,44.57,262200,44.57
2011-02-28,45.95,46.46,45.38,45.75,280900,45.75
2011-02-25,44.95,45.86,44.85,45.86,116800,45.86
2011-02-24,44.54,44.91,44.35,44.70,273200,44.70
2011-02-23,45.68,45.92,43.95,44.74,399100,44.74
2011-02-22,45.88,46.02,45.46,45.83,234300,45.83
2011-02-18,48.64,48.91,46.50,46.51,419700,46.51
2011-02-17,48.90,49.38,47.25,48.73,357300,48.73
2011-02-16,49.37,49.76,48.95,49.52,226300,49.52
2011-02-15,49.54,49.71,49.07,49.20,131300,49.20
2011-02-14,49.23,49.52,49.10,49.37,150600,49.37
2011-02-11,49.08,49.32,48.71,49.19,354700,49.19
2011-02-10,49.17,49.36,49.12,49.22,270700,49.22
2011-02-09,49.01,49.67,48.83,49.22,161300,49.22
2011-02-08,48.83,49.13,48.61,49.10,85500,49.10
2011-02-07,49.20,49.21,48.81,48.85,253800,48.85
2011-02-04,49.07,49.36,48.66,49.00,282200,49.00
2011-02-03,49.26,49.53,48.54,49.07,352000,49.07
2011-02-02,49.34,49.46,48.72,49.04,253700,49.04
2011-02-01,49.04,50.00,48.50,49.57,227800,49.57
2011-01-31,47.92,48.63,47.78,48.59,249500,48.59
2011-01-28,48.84,48.88,47.51,47.80,238000,47.80
2011-01-27,48.79,49.05,48.14,48.98,105400,48.98
2011-01-26,48.17,49.24,47.64,49.05,303800,49.05
2011-01-25,47.14,47.82,46.92,47.80,164300,47.80
2011-01-24,48.10,48.10,47.20,47.20,159200,47.20
2011-01-21,48.10,48.41,47.43,47.79,103200,47.79
2011-01-20,47.97,48.00,47.18,47.85,316800,47.85
2011-01-19,48.53,48.83,47.90,48.25,308900,48.25
2011-01-18,48.16,48.82,48.04,48.50,148300,48.50
2011-01-14,47.80,48.23,47.37,48.16,163100,48.16
2011-01-13,47.84,48.06,47.07,47.96,227100,47.96
2011-01-12,47.96,48.14,47.08,47.81,211100,47.81
2011-01-11,47.34,47.47,46.76,47.36,180400,47.36
2011-01-10,46.89,47.34,46.28,47.19,231000,47.19
2011-01-07,46.69,48.14,46.45,47.00,367900,47.00
2011-01-06,46.83,46.92,45.72,46.06,231700,46.06
2011-01-05,45.50,46.91,45.50,46.85,208200,46.85
2011-01-04,46.38,46.43,44.76,45.71,242800,45.71
2011-01-03,45.97,46.74,45.97,46.36,112000,46.36
